40000
  36.1033101196   36.1033101196   36.1033101196
0 0   26.1809336099    9.0345208900    8.1545535446   -0.1925716601   -0.5878849400   -0.2468885300
1 0   26.9879068751    9.3459410273    7.6700033910    0.7592063520   -0.8805445381    0.2670635765
2 0   27.0105463281    9.4513241361    8.6172027679    0.4802105091    0.1812120830    1.1118797798
3 0   26.8537565571    9.5320656025    9.5636298274    1.1598105460   -0.3564141435   -0.4774964204
4 0   27.8222859397    9.3986685135    9.4903986338   -0.0372284328   -1.3530757254   -0.4442617023
5 0   27.5871690862    9.9949123636   10.1944068464   -0.5097302088   -2.4013817710   -0.6246881227
6 0   27.7360007255   10.9177300975   10.1796074612    0.1423364992   -0.3362660215    1.7410049344
7 0   26.8079119576   10.8982377220   10.2082643337    1.0657862201   -0.6871005547    0.9834479399
8 0   25.9548494960   11.2858541640    9.8620109135    0.3308984892   -0.3411050511   -0.8703036909
9 0   26.4276425841   11.6557430993    9.0962365945    2.8002862923    1.3368981698    1.3044476869
10 0   26.0046076059   11.5006610565    8.2878006838    0.5641936667   -0.0644564511   -0.5067376176
11 0   26.7385417699   10.8791440731    8.1500547255    0.2717681067    0.0776452078   -0.0836177321
12 0   27.4640861710   10.2748158262    7.9414285419    0.5436112859    1.8143004823    2.5141726577
13 0   27.1995481117   10.1903618024    7.0288569315   -0.4593179085    1.2135329722   -0.2773066293
14 0   26.6458978511    9.4207983497    6.6774418921    1.9670840301    0.9037036958    1.4974459678
15 0   27.2752292011    8.7380692151    6.7802271745   -1.9224075618   -0.6529594428    0.8265716498
16 0   27.5769495488    9.2252633977    6.0682135285   -2.2528383152   -0.8235066722   -0.9859919876
17 0   28.0048454704    9.8813356851    5.4268930413   -0.0165288854   -0.1620865774    0.0461799368
18 0   28.6653270017    9.5645311177    4.8043181395   -1.4359971808   -0.3434413128   -0.1872047272
19 0   27.8387085554    9.0822104396    4.7127444361    1.5551286513    1.1928485960    1.0224458186
20 0   27.2046406648    8.3665435723    4.6660127145    3.0073313337   -0.6604034574   -0.2619741038
21 0   27.0977459839    8.9398302436    3.9120754234   -0.3468604046    0.2509046576   -0.0016096508
22 0   27.0139746647    9.5544274648    3.2284611568   -0.7830254192   -0.7348213596    0.5186066401
23 0   26.0511871206    9.5512939460    2.9752984200    0.3402324978    2.0354539724   -0.0233704714
24 0   26.0933762029    9.9226924986    3.8569831813   -0.2185172458    0.3678483706   -0.0785602752
25 0   26.5296954016    9.6396317434    4.6541494768    0.6898595756    0.1724982003   -0.3691781309
26 0   26.5890677316    9.4687935683    5.6142819595    0.4318022148   -1.7042671045    1.1679660212
27 0   27.1778595739   10.1244587179    5.9537045471   -0.2661535625   -1.8425255810    0.0006014489
28 0   26.2608693382   10.3283545788    6.1197342402   -0.6567812830   -1.1054419907   -0.5621763923
29 0   26.4170619964   10.9058339908    6.9393481491   -0.3383398514    0.2398352868    0.5442215049
30 0   25.9758571714   11.4366708353    6.3182560284    0.4584841686   -0.8211255122   -0.5240956451
31 0   26.4538003444   12.1018041602    5.9435150666   -1.9546851801    0.0240766180   -1.9629781596
32 0   26.3879085369   12.9909999160    6.1580482666   -0.2332693999   -1.1287254201    1.0906199327
33 0   26.5271573750   13.1340648231    7.1015299795   -0.4787813399    1.9158855185   -1.3950542483
34 0   27.4332079101   13.1830966373    7.4601851493    0.8447527319    2.2052878632    0.7692375804
35 0   28.3607537723   13.3846216217    7.5686285422    2.5563000575    0.5410039589   -1.9218353890
36 0   28.6655844678   14.2969849649    7.5479221961    1.2493211012   -1.0007393240    2.4101286409
37 0   29.5357165508   13.9703270852    7.2219403075   -0.0219691396    0.7193589849    1.9547146576
38 0   30.2257030026   13.3486915160    7.2969480085   -1.8823392329    0.9952576553    0.7145140640
39 0   29.3771940881   13.0263092088    7.7858498654    0.3488000200    1.9590367289   -0.6388496306
40 1   32.4952379609   14.7544556404   25.8001130521    0.7256465577    0.0517231233    0.0696618797
41 1   32.2844694461   13.8066194737   25.5985952576    0.1975655756   -0.4957639910   -0.2815480401
42 1   31.7279828683   13.0428819915   25.4419849901   -1.9199049451   -0.4545320558    0.9823360376
43 1   31.2544895329   12.7269162169   26.2099292309   -1.0876635866   -1.2080164011    0.5255054469
44 1   31.5696156734   13.0675837453   27.1006334292    0.1140607903   -0.5760895214    2.1526952122
45 1   31.4578107983   13.9520962995   27.5050699884    1.8159651075   -0.8928074322   -0.9541635825
46 1   31.3284167027   14.9370119672   27.3090038590   -0.3278945462   -0.1309665546   -0.3860393772
